topBid,topAsk,bidVol,askVol
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,9.3248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,9.3248222,34.03058418
6539.98,6539.99,9.3248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,9.3248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,9.3248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,9.3248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,9.3248222,33.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,9.3248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,9.3248222,34.03058418
6539.98,6539.99,9.3248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,9.3248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,9.3248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,9.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,6.8248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,8.3248222,34.03058418
6539.98,6539.99,5.8248222,34.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,6.8248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,8.3248222,33.03058418
6539.98,6539.99,5.8248222,33.03058418
6539.98,6539.99,5.8169222,33.03058418
6539.98,6539.99,5.8169222,33.03058418
6539.98,6539.99,8.3169222,33.03058418
6539.98,6539.99,8.3169222,34.03058418
6539.98,6539.99,8.3169222,33.03058418
6539.98,6539.99,8.3169222,34.03058418
6539.98,6539.99,8.3169222,34.03058418
