topBid,topAsk,bidVol,askVol
2018-11-07T19:10:01.0000000,6513.61,6513.62,32.97943327,5.67356153
2018-11-07T19:10:01.0000000,6513.61,6513.62,32.97573327,5.67356153
2018-11-07T19:10:01.0000000,6513.61,6513.62,32.97573327,5.67356153
2018-11-07T19:10:02.0000000,6513.61,6513.62,32.97573327,5.31356153
2018-11-07T19:10:02.0000000,6513.61,6513.62,33.08573327,5.31356153
2018-11-07T19:10:03.0000000,6513.61,6513.62,33.08573327,4.85456153
2018-11-07T19:10:03.0000000,6513.61,6513.62,32.97573327,4.85456153
2018-11-07T19:10:03.0000000,6513.61,6513.62,32.97573327,5.21456153
2018-11-07T19:10:03.0000000,6513.61,6513.62,32.97573327,5.19974222
2018-11-07T19:10:03.0000000,6513.61,6513.62,32.97573327,5.19974222
2018-11-07T19:10:04.0000000,6513.61,6513.62,32.97573327,4.83974222
2018-11-07T19:10:04.0000000,6513.61,6513.62,33.08573327,4.83974222
2018-11-07T19:10:04.0000000,6513.61,6513.62,32.97573327,4.83974222
2018-11-07T19:10:04.0000000,6513.61,6513.62,32.97573327,5.19974222
2018-11-07T19:10:06.0000000,6513.61,6513.62,32.97573327,5.17697324
2018-11-07T19:10:06.0000000,6513.61,6513.62,32.97573327,5.17697324
2018-11-07T19:10:06.0000000,6513.61,6513.62,32.97573327,5.1545159
2018-11-07T19:10:06.0000000,6513.61,6513.62,32.97573327,5.1545159
2018-11-07T19:10:07.0000000,6513.61,6513.62,32.97573327,4.7945159
2018-11-07T19:10:07.0000000,6513.61,6513.62,33.08573327,4.7945159
2018-11-07T19:10:07.0000000,6513.61,6513.62,32.08573327,4.7945159
2018-11-07T19:10:07.0000000,6513.61,6513.62,32.08573327,5.7945159
2018-11-07T19:10:07.0000000,6513.61,6513.62,32.08573327,4.7945159
2018-11-07T19:10:07.0000000,6513.61,6513.62,32.08573327,5.1545159
2018-11-07T19:10:07.0000000,6513.61,6513.62,33.08573327,5.1545159
2018-11-07T19:10:07.0000000,6513.61,6513.62,32.97573327,5.1545159
2018-11-07T19:10:07.0000000,6513.61,6513.62,32.97573327,6.1545159
2018-11-07T19:10:07.0000000,6513.61,6513.62,32.97573327,5.1545159
2018-11-07T19:10:07.0000000,6513.61,6513.62,31.97573327,5.1545159
2018-11-07T19:10:08.0000000,6513.61,6513.62,31.97573327,6.1545159
2018-11-07T19:10:08.0000000,6513.61,6513.62,31.97573327,5.1545159
2018-11-07T19:10:08.0000000,6513.61,6513.62,31.97573327,6.1545159
