topBid,topAsk,bidVol,askVol
6328,6329.29,3.5,0.38946314
6328.41,6329.29,3.5,0.38946314
6328.41,6329.29,3.5,0
6328.41,6329.28,3.5,0
6328.41,6329.28,3.5,0
6328.41,6329.28,0,0
6328.41,6329.28,0.16,0
6328.41,6329.28,0,0
6328.41,6329.28,0.16,0
6328.41,6329.28,0,0
6328.4,6329.29,0,0
6328.4,6329.29,0,0.37812674
6328.41,6329.29,0,0.37812674
6328.41,6329.29,0,0
6328.41,6329.29,0,0
6328.02,6329.28,0,0
6328.02,6329.28,0,0
6328.01,6329.28,0,0
6328.01,6329.28,0,0
6328,6329.28,0,0
6328,6329.28,4.40299714,0
6328,6329.28,4.797169,0
6328,6329.28,4.797169,0
6328,6329.28,4.967169,0
6328,6329.28,4.797169,0
6328,6329.28,4.40299714,0
6328,6329.28,3.40299714,0
6328,6329.28,3.51645714,0
6328.01,6329.36,3.51645714,0
6328.01,6329.36,3.51645714,0.01450476
6328.01,6329.36,3.51645714,0.01450476
6328.01,6329.36,0,0.01450476
6328.01,6329.36,0,7.51450476
6328.01,6329.36,0,0.01450476
6328.01,6329.36,0,0
6328.01,6329.36,0,0.17
6328.01,6329.36,0,0
6328.01,6329.36,0.17,0
6328.01,6329.36,0.17,2.3
6328.01,6329.36,0,2.3
6328.01,6329.36,0,2.16696298
6328,6329.36,0,2.16696298
6328,6329.36,0,0
6328,6329.36,3.40299714,0
6328,6329.36,3.40299714,0.01547063
6328,6329.36,3.40299714,0.00870905
6328,6329.36,3.40299714,0.00870905
6328,6329.36,3.40299714,0
6328,6329.36,3.40299714,0.00113337
6328,6329.36,3.40299714,0.01660476
6328,6329.36,3.40299714,0.00113337
6328,6329.36,3.40299714,0.01660382
6328,6329.36,3.40299714,0.00113337
6328,6329.36,3.40299714,0.01660495
6328,6329.36,3.40299714,0.00113337
6328,6329.36,3.40299714,0.01660432
6328,6329.36,3.40299714,0.00113337
6328.03,6329.35,3.40299714,0.00113337
6328.03,6329.35,3.40299714,0
6328.03,6329.35,0,0
6328.03,6329.35,0,0.37
6328.03,6329.35,0.17,0.37
6328.03,6329.35,0,0.37
6328.03,6329.35,0,0
6328.03,6329.35,0,2.3
6328.03,6329.35,0.17,2.3
6328.03,6329.35,0,2.3
6328.03,6329.35,0.17,2.3
6328.03,6329.35,0,2.3
6328.03,6329.35,0.17,2.3
6328.03,6329.35,0,2.3
6328.03,6329.35,0.17,2.3
6328.03,6329.35,0,2.3
6328.02,6329.33,0,2.3
6328.02,6329.33,0.00184831,2.3
6328.02,6329.33,0,2.3
6328.02,6329.33,0,0
6328.02,6329.33,0.01546995,0
6328.03,6329.35,0.01546995,0
6328.03,6329.35,0.01546995,2.29129594
6328.03,6329.35,0.01546995,2.29129594
6328.03,6329.35,0.01546995,0
6328.04,6329.36,0.01546995,0
6328.04,6329.36,0,0
6328.04,6329.36,0,0.34733538
6328.01,6329.36,0,0.34733538
6328.01,6329.36,0,0.26571164
6328.06,6329.36,0,0.26571164
6328.06,6329.36,0,0
6328.06,6329.36,0,0
6328.06,6329.36,0.24,0
6328.06,6329.36,0,0
6328.08,6329.35,0,0
6328.08,6329.35,0,0
6328.08,6329.35,0,0
6328.08,6329.35,0.24,0
